congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
115,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946,,,,,,,,,,
115,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.353,0.459,-102.33967,0.89726,944,63,,0.397,0.482
115,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.391,0.402,-90.4457,0.90469,903,34,,-0.398,0.356
115,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.361,0.656,-65.13494,0.93298,939,23,,0.41,0.596
115,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.647,-0.446,-174.32163,0.82479,905,80,,0.672,-0.553
115,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.611,0.244,-63.28698,0.93594,956,19,,0.577,0.429
115,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.71,-0.047,-70.70671,0.92784,944,38,,0.763,0.066
115,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.367,0.595,-68.69992,0.92797,919,22,,0.395,0.605
115,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.021,-204.58727,0.80177,926,91,,0.277,0.315
115,House,20304,61,8,AZ,200,,,"FRANKS, Trent",F000448,1957,,0.749,0.087,-45.67247,0.91933,543,23,,0.621,-0.006
115,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.256,-43.19532,0.95369,911,11,,-0.632,-0.216
115,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.676,-0.419,-170.43006,0.82921,910,87,,0.991,-0.136
115,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.59,-0.324,-111.99496,0.88923,954,37,,0.586,-0.294
115,House,21300,61,9,AZ,100,,,"SINEMA, Kyrsten",S001191,1976,,-0.102,0.058,-263.24357,0.7437,889,134,,-0.097,0.124
115,House,21501,61,2,AZ,200,,,"McSALLY, Martha",M001197,1966,,0.345,0.025,-141.89149,0.85975,939,84,,0.391,-0.029
115,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.452,-0.02,-99.57282,0.89857,931,40,,-0.432,-0.01
115,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.882,-0.471,-179.68458,0.82849,955,105,,0.991,-0.136
115,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.185,0.151,-195.50712,0.81417,951,84,,-0.167,0.128
115,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.608,-0.036,-27.52799,0.89372,245,12,,0.718,-0.054
115,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.409,0.494,-66.52879,0.93075,927,27,,0.495,0.285
115,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.354,0.589,-68.57458,0.93092,958,21,,0.437,0.349
115,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.454,0.229,-93.13867,0.90633,947,47,,0.494,0.204
115,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.548,0.355,-64.69114,0.9345,955,20,,0.59,0.174
115,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-62.78575,0.9292,855,40,,-0.438,-0.197
115,House,15621,71,48,CA,200,,,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.417,-191.72548,0.8128,925,77,,0.609,-0.549
115,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.349,-0.128,-76.05972,0.92329,953,31,,-0.395,-0.075
115,House,20107,71,49,CA,200,,,"ISSA, Darrell",I000056,1953,,0.506,-0.085,-97.21241,0.89836,907,39,,0.451,-0.099
115,House,20108,71,53,CA,100,,,"DAVIS, Susan A.",D000598,1944,,-0.344,-0.106,-78.00437,0.91938,928,33,,-0.324,-0.287
115,House,20307,71,22,CA,200,,,"NUNES, Devin",N000181,1973,,0.449,0.213,-68.19666,0.93038,945,24,,0.374,0.492
115,House,20310,71,38,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.137,-59.13886,0.93852,932,22,,-0.539,0.104
115,House,20501,71,16,CA,100,,,"COSTA, Jim",C001059,1952,,-0.191,0.468,-224.19142,0.76053,819,101,,-0.2,0.483
115,House,20538,71,6,CA,100,,,"MATSUI, Doris",M001163,1944,,-0.434,-0.161,-83.51103,0.91516,942,45,,-0.403,-0.131
115,House,20702,71,9,CA,100,,,"McNERNEY, Jerry",M001166,1951,,-0.261,-0.15,-111.55169,0.88719,932,38,,-0.303,-0.272
115,House,20703,71,23,CA,200,,,"MCCARTHY, Kevin",M001165,1965,,0.459,0.21,-62.8791,0.93563,945,19,,0.464,0.25
115,House,20762,71,14,CA,100,,,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.381,-0.448,-81.30674,0.90549,819,28,,-0.358,-0.539
115,House,20903,71,4,CA,200,,,"McCLINTOCK, Tom",M001177,1956,,0.719,-0.472,-136.51841,0.86654,953,49,,0.919,-0.395
115,House,20955,71,27,CA,100,,,"CHU, Judy",C001080,1953,,-0.487,-0.376,-58.8137,0.93916,937,23,,-0.452,-0.719
115,House,20958,71,3,CA,100,,,"GARAMENDI, John",G000559,1945,,-0.309,-0.095,-123.21911,0.87503,923,49,,-0.291,-0.111
115,House,20963,71,50,CA,200,,,"HUNTER, Duncan Duane",H001048,1976,,0.539,0.085,-119.65714,0.88024,938,47,,0.527,-0.124
115,House,21109,71,10,CA,200,,,"DENHAM, Jeff",D000612,1967,,0.306,0.212,-102.31873,0.89464,919,65,,0.238,0.535
115,House,21110,71,37,CA,100,,,"BASS, Karen",B001270,1953,,-0.585,-0.106,-55.40849,0.93898,880,15,,-0.689,0.063
115,House,21302,71,1,CA,200,,,"LaMALFA, Doug",L000578,1960,,0.537,0.104,-87.09389,0.91088,933,30,,0.519,0.098
115,House,21303,71,2,CA,100,,,"HUFFMAN, Jared",H001068,1964,,-0.426,-0.545,-82.73755,0.91254,904,36,,-0.431,-0.72
115,House,21304,71,7,CA,100,,,"BERA, Ami",B001287,1965,,-0.232,0.014,-138.36524,0.86538,957,68,,-0.259,0.187
115,House,21305,71,8,CA,200,,,"COOK, Paul",C001094,1943,,0.376,0.201,-90.99453,0.9093,957,32,,0.348,0.155
115,House,21306,71,15,CA,100,,,"SWALWELL, Eric",S001193,1980,,-0.368,-0.106,-107.14395,0.89006,920,51,,-0.355,-0.21
115,House,21307,71,21,CA,200,,,"VALADAO, David G.",V000129,1977,,0.253,0.411,-80.22792,0.91869,946,55,,0.248,0.687
115,House,21308,71,26,CA,100,,,"BROWNLEY, Julia",B001285,1952,,-0.286,0.051,-96.31708,0.90281,942,49,,-0.317,0.108
115,House,21309,71,29,CA,100,,,"CÁRDENAS, Tony",C001097,1963,,-0.383,0.021,-98.06783,0.89676,900,33,,-0.427,0.19
115,House,21311,71,36,CA,100,,,"RUIZ, Raul",R000599,1972,,-0.242,0.062,-130.01198,0.87272,955,59,,-0.267,0.117
115,House,21312,71,41,CA,100,,,"TAKANO, Mark",T000472,1960,,-0.463,-0.259,-69.13362,0.92873,935,32,,-0.482,-0.59
115,House,21313,71,47,CA,100,,,"LOWENTHAL, Alan",L000579,1941,,-0.45,-0.369,-69.24532,0.92657,908,34,,-0.478,-0.358
115,House,21314,71,51,CA,100,,,"VARGAS, Juan",V000130,1961,,-0.399,0.104,-89.17777,0.90884,933,30,,-0.458,0.151
115,House,21315,71,52,CA,100,,,"PETERS, Scott",P000608,1958,,-0.179,-0.048,-197.28048,0.81087,941,101,,-0.179,0.004
115,House,21504,71,11,CA,100,,,"DESAULNIER, Mark James",D000623,1952,,-0.529,-0.36,-67.27485,0.93142,947,32,,-0.565,-0.469
