congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,Senate,41705,41,0,AL,100,,,"JONES, Gordon Douglas (Doug)",J000300,1954,,-0.089,0.2,-55.39154,0.88838,468,24,,-0.078,0.264
116,Senate,94659,41,0,AL,200,,,"SHELBY, Richard C.",S000320,1934,,0.428,0.515,-34.95844,0.93004,482,17,,0.429,0.094
116,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957,,0.21,-0.291,-32.64474,0.92972,448,8,,0.278,-0.431
116,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964,,0.48,0.072,-37.85855,0.92355,476,16,,0.506,0.02
116,Senate,21300,61,0,AZ,100,,,"SINEMA, Kyrsten",S001191,1976,,-0.102,0.058,-63.23123,0.87157,460,18,,-0.059,0.19
116,Senate,21501,61,0,AZ,200,,,"McSALLY, Martha",M001197,1966,,0.345,0.025,-30.92867,0.93747,479,12,,0.346,0.245
116,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950,,0.4,0.248,-19.83465,0.95985,484,7,,0.343,0.255
116,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977,,0.576,0.107,-47.00644,0.90671,480,21,,0.433,0.077
116,Senate,41701,71,0,CA,100,,,"HARRIS, Kamala Devi",H001075,1964,,-0.702,-0.119,-18.7725,0.92738,249,9,,-0.705,-0.267
116,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933,,-0.268,-0.195,-60.40641,0.88267,484,16,,-0.263,-0.076
116,Senate,21112,62,0,CO,200,,,"GARDNER, Cory",G000562,1974,,0.445,-0.021,-33.97167,0.93084,474,15,,0.344,0.022
116,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964,,-0.221,-0.163,-86.06571,0.79196,369,41,,-0.282,-0.173
116,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973,,-0.275,-0.191,-113.17374,0.79034,481,49,,-0.162,-0.302
116,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946,,-0.431,-0.093,-69.42058,0.86561,481,29,,-0.449,-0.049
116,Senate,15015,11,0,DE,100,,,"CARPER, Thomas Richard",C000174,1947,,-0.175,-0.228,-87.80758,0.83314,481,26,,-0.185,-0.298
116,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963,,-0.225,-0.229,-57.37588,0.88508,470,20,,-0.192,-0.286
116,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971,,0.572,-0.269,-39.59175,0.91838,465,16,,0.54,-0.096
116,Senate,41903,43,0,FL,200,,,"SCOTT, Richard Lynn (Rick)",S001217,1952,,0.512,0.099,-37.65791,0.923,470,22,,0.512,0.099
116,Senate,29909,44,0,GA,200,,,"ISAKSON, Johnny",I000055,1944,,0.402,-0.011,-10.54373,0.96184,271,2,,0.336,0.153
116,Senate,41501,44,0,GA,200,,,"PERDUE, David Alfred, Jr.",P000612,1949,,0.57,-0.074,-31.00564,0.93284,446,17,,0.48,0.257
116,Senate,41904,44,0,GA,200,,,"LOEFFLER, Kelly",L000594,1970,,0.539,0.273,-5.25597,0.94562,94,3,,0.539,0.273
116,Senate,20713,82,0,HI,100,,,"HIRONO, Mazie",H001042,1947,,-0.51,-0.098,-61.89097,0.87588,467,30,,-0.567,-0.07
116,Senate,41112,82,0,HI,100,,,"SCHATZ, Brian Emanuel",S001194,1972,,-0.445,-0.086,-73.54515,0.85684,476,28,,-0.474,-0.077
116,Senate,29345,63,0,ID,200,,,"CRAPO, Michael Dean",C000880,1951,,0.51,0.291,-26.25582,0.94677,480,12,,0.491,0.632
116,Senate,40902,63,0,ID,200,,,"RISCH, James",R000584,1943,,0.631,0.564,-20.33459,0.95818,476,12,,0.591,0.604
116,Senate,15021,21,0,IL,100,,,"DURBIN, Richard Joseph",D000563,1944,,-0.351,-0.324,-98.63466,0.81284,476,56,,-0.297,-0.08
116,Senate,21325,21,0,IL,100,,,"DUCKWORTH, Tammy",D000622,1968,,-0.332,0.108,-75.05858,0.85064,464,31,,-0.37,0.23
116,Senate,21133,22,0,IN,200,,,"YOUNG, Todd",Y000064,1972,,0.476,-0.03,-63.42365,0.87525,476,31,,0.479,-0.466
116,Senate,41900,22,0,IN,200,,,"BRAUN, Michael",B001310,1954,,0.8,0.6,-32.30699,0.9353,483,16,,0.826,0.563
116,Senate,14226,31,0,IA,200,,,"GRASSLEY, Charles Ernest",G000386,1933,,0.346,-0.065,-51.21757,0.89959,484,19,,0.511,0.114
116,Senate,41502,31,0,IA,200,,,"ERNST, Joni",E000295,1970,,0.53,-0.023,-42.43326,0.91505,478,17,,0.561,-0.083
116,Senate,14852,32,0,KS,200,,,"ROBERTS, Charles Patrick (Pat)",R000307,1936,,0.413,-0.091,-18.33726,0.9605,455,2,,0.339,0.211
116,Senate,29722,32,0,KS,200,,,"MORAN, Jerry",M000934,1954,,0.414,0.2,-74.72896,0.8438,440,26,,0.391,-0.354
116,Senate,14921,51,0,KY,200,,,"McCONNELL, Addison Mitchell (Mitch)",M000355,1942,,0.402,0.004,-43.46819,0.9141,484,12,,0.32,0.155
116,Senate,41104,51,0,KY,200,,,"PAUL, Rand",P000603,1963,,0.878,-0.479,-122.3871,0.75813,442,64,,0.885,-0.466
116,Senate,20919,45,0,LA,200,,,"CASSIDY, Bill",C001075,1957,,0.454,-0.107,-34.45975,0.92581,447,17,,0.502,-0.149
116,Senate,41703,45,0,LA,200,,,"KENNEDY, John Neely",K000393,1951,,0.562,0.269,-45.27436,0.90854,472,22,,0.643,-0.029
116,Senate,41300,2,0,ME,328,,,"KING, Angus Stanley, Jr.",K000383,1944,,-0.154,-0.224,-53.45072,0.89544,484,20,,-0.162,-0.2
116,Senate,49703,2,0,ME,200,,,"COLLINS, Susan Margaret",C001035,1952,,0.112,-0.542,-41.25541,0.91829,484,10,,0.129,-0.421
116,Senate,15408,52,0,MD,100,,,"CARDIN, Benjamin Louis",C000141,1943,,-0.321,-0.228,-79.81034,0.84623,478,31,,-0.276,-0.059
116,Senate,20330,52,0,MD,100,,,"VAN HOLLEN, Christopher",V000128,1959,,-0.389,-0.193,-75.51923,0.85526,483,27,,-0.37,-0.309
116,Senate,14435,3,0,MA,100,,,"MARKEY, Edward John",M000133,1946,,-0.511,-0.45,-56.52009,0.88097,446,17,,-0.612,-0.768
116,Senate,41301,3,0,MA,100,,,"WARREN, Elizabeth",W000817,1949,,-0.767,-0.271,-10.6656,0.9574,245,4,,-0.799,-0.329
116,Senate,20923,23,0,MI,100,,,"PETERS, Gary C.",P000595,1958,,-0.245,-0.197,-88.13983,0.8332,483,42,,-0.303,-0.051
116,Senate,29732,23,0,MI,100,,,"STABENOW, Deborah Ann",S000770,1950,,-0.341,-0.016,-104.81098,0.80162,474,56,,-0.388,-0.196
116,Senate,40700,33,0,MN,100,,,"KLOBUCHAR, Amy",K000367,1960,,-0.278,-0.342,-120.42423,0.67979,312,59,,-0.48,-0.514
116,Senate,41706,33,0,MN,100,,,"SMITH, Tina",S001203,1958,,-0.392,-0.053,-65.50122,0.87342,484,30,,-0.41,-0.026
116,Senate,29534,46,0,MS,200,,,"WICKER, Roger F.",W000437,1951,,0.376,0.352,-22.93888,0.95362,483,7,,0.374,0.2
116,Senate,41707,46,0,MS,200,,,"HYDE-SMITH, Cindy",H001079,1959,,0.366,0.277,-14.12905,0.97081,477,4,,0.349,0.318
116,Senate,29735,34,0,MO,200,,,"BLUNT, Roy",B000575,1950,,0.427,0.281,-24.10351,0.95102,480,9,,0.35,0.174
