congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,165,0.975757575757576,0.95729702,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,70,0.985714285714286,0.97215483,63
0,house,A000367,Amash,MI,3,Independent,164,0.640243902439024,0.75364339,9.4
115,house,A000367,Amash,MI,3,R,96,0.541666666666667,0.84738551,9.4
116,house,A000367,Amash,MI,3,I,66,0.772727272727273,0.64394666,9.4
116,house,A000367,Amash,MI,3,R,2,1,0.59582585,9.4
0,house,A000369,Amodei,NV,2,Republican,165,0.96969696969697,0.80860446,12.3
115,house,A000369,Amodei,NV,2,R,94,0.98936170212766,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,71,0.943661971830986,0.71867917,12.3
0,house,A000370,Adams,NC,12,Democrat,164,0.115853658536585,0.13448848,-40
115,house,A000370,Adams,NC,12,D,92,0.173913043478261,0.20378724,-40
116,house,A000370,Adams,NC,12,D,72,0.0416666666666667,0.04594007,-40
0,house,A000371,Aguilar,CA,31,Democrat,165,0.181818181818182,0.20542883,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.276595744680851,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,71,0.0563380281690141,0.06186196,-21.1
0,house,A000372,Allen,GA,12,Republican,168,0.970238095238095,0.87142409,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,73,0.972602739726027,0.82670237,16.2
0,house,A000374,Abraham,LA,5,Republican,143,0.944055944055944,0.94331974,29.4
115,house,A000374,Abraham,LA,5,R,96,0.927083333333333,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,47,0.978723404255319,0.93817299,29.4
0,house,A000375,Arrington,TX,19,Republican,167,0.964071856287425,0.95822913,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,72,0.958333333333333,0.96960147,49
0,house,A000376,Allred,TX,32,Democrat,72,0.0694444444444444,0.20308123,-1.9
116,house,A000376,Allred,TX,32,D,72,0.0694444444444444,0.20308123,-1.9
0,house,A000377,Armstrong,ND,0,Republican,71,0.943661971830986,0.95933076,35.72888837
116,house,A000377,Armstrong,ND,0,R,71,0.943661971830986,0.95933076,35.72888837
0,house,A000378,Axne,IA,3,Democrat,73,0.0821917808219178,0.36967997,3.5
116,house,A000378,Axne,IA,3,D,73,0.0821917808219178,0.36967997,3.5
0,house,B000213,Barton,TX,6,Republican,92,0.923913043478261,0.87643124,12.3
115,house,B000213,Barton,TX,6,R,92,0.923913043478261,0.87643124,12.3
